gvkey,iid,datadate,tic,conm,prccd,fyrc
002403,01,02/27/2018,BMY,BRISTOL-MYERS SQUIBB CO,67.8400,12
002403,01,02/28/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.2000,12
002403,01,03/01/2018,BMY,BRISTOL-MYERS SQUIBB CO,65.6900,12
002403,01,03/02/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.1700,12
002403,01,03/05/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.8200,12
002403,01,03/06/2018,BMY,BRISTOL-MYERS SQUIBB CO,65.4700,12
002403,01,03/07/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.1000,12
002403,01,03/08/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.7500,12
002403,01,03/09/2018,BMY,BRISTOL-MYERS SQUIBB CO,67.9200,12
002403,01,03/12/2018,BMY,BRISTOL-MYERS SQUIBB CO,67.4500,12
002403,01,03/13/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.6800,12
002403,01,03/14/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.6300,12
002403,01,03/15/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.2500,12
002403,01,03/16/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.6000,12
002403,01,03/19/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.0700,12
002403,01,03/20/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.4300,12
002403,01,03/21/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.1000,12
002403,01,03/22/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.9500,12
002403,01,03/23/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.0600,12
002403,01,03/26/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.4000,12
002403,01,03/27/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.4100,12
002403,01,03/28/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.5700,12
002403,01,03/29/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.2500,12
002403,01,04/02/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.0000,12
002403,01,04/03/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.7700,12
002403,01,04/04/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.9800,12
002403,01,04/05/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.3100,12
002403,01,04/06/2018,BMY,BRISTOL-MYERS SQUIBB CO,60.8800,12
002403,01,04/09/2018,BMY,BRISTOL-MYERS SQUIBB CO,60.4800,12
002403,01,04/10/2018,BMY,BRISTOL-MYERS SQUIBB CO,61.2100,12
002403,01,04/11/2018,BMY,BRISTOL-MYERS SQUIBB CO,60.1800,12
002403,01,04/12/2018,BMY,BRISTOL-MYERS SQUIBB CO,58.8400,12
002403,01,04/13/2018,BMY,BRISTOL-MYERS SQUIBB CO,58.6500,12
